question,doc_id,unit_id,module,answer,id,domain,created_at,doc_type,source,region,role,status
如何录入新增押品信息,信贷系统操作手册,步骤1,押品,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_0,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里查询授信审批进度,信贷系统操作手册,功能2_1,授信,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_1,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
用信申请时如何关联已有授信额度,信贷系统操作手册,步骤3,用信,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_2,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
押品价值重估的操作步骤是什么,信贷系统操作手册,步骤5,押品,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_3,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么提交授信方案至审批环节,信贷系统操作手册,功能1_2,授信,目标：为信贷业务人员与系统开发提供完整、可执行的功能设计与操作流程，降低业务误操作、缩短培训时间、并支持 RAG/知识库接入（供业务人员随时查询政策与产品说明）。,system_信贷系统操作手册_1_4,system,2025-12-31T15:23:42.887532,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何录入客户基本信息,信贷系统操作手册,步骤1,授信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_0,system,2025-12-31T15:23:48.751386,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里提交用信申请,信贷系统操作手册,功能2_1,用信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_1,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
怎么查询押品评估状态,信贷系统操作手册,功能3_2,押品,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_2,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
授信审批流程如何操作,信贷系统操作手册,步骤3,授信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_3,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
系统里怎么上传贷款合同文件,信贷系统操作手册,功能2_3,用信,3. 详细功能设计与操作流程（关键场景，逐步模拟点击）,system_信贷系统操作手册_2_4,system,2025-12-31T15:23:48.751918,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何在系统中录入新客户基本信息,信贷系统操作手册,步骤1,授信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_0,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
贷款申请提交前需要上传哪些材料,信贷系统操作手册,步骤2,用信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_1,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
在哪里选择贷款产品和期限额度,信贷系统操作手册,步骤3,用信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_2,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
客户征信报告如何在系统内查询,信贷系统操作手册,步骤4,授信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_3,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
提交贷款申请后如何跟踪审批进度,信贷系统操作手册,步骤5,用信,场景 A：客户经理受理并提交新贷款申请（前端流程示例）,system_信贷系统操作手册_3_4,system,2025-12-31T15:23:53.203110,操作手册,信贷系统操作手册.md,全国,客户经理,生效
如何提交授信申请并生成申请单号,信贷系统操作手册,步骤1,授信,点击【提交审批】：前端做完整校验 -> 若通过，则弹出“确认提交审批”弹窗（显示关键摘要） -> 点击弹窗【确认】后提交到流程引擎并生成申请单号（格式：LN + yyyyMMdd + 6位序号）。,system_信贷系统操作手册_4_0,system,2025-12-31T15:23:57.976293,操作手册,信贷系统操作手册.md,全国,客户经理,生效
提交审批前系统会进行哪些校验,信贷系统操作手册,步骤1,授信,点击【提交审批】：前端做完整校验 -> 若通过，则弹出“确认提交审批”弹窗（显示关键摘要） -> 点击弹窗【确认】后提交到流程引擎并生成申请单号（格式：LN + yyyyMMdd + 6位序号）。,system_信贷系统操作手册_4_1,system,2025-12-31T15:23:57.976293,操作手册,信贷系统操作手册.md,全国,客户经理,生效
