question,doc_id,unit_id,publish_date,effective_date,answer,id,domain,created_at,doc_type,source,region,role,status
新疆小额贷款公司监管新规依据哪个国家文件？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_0,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小额贷款公司监管细则适用哪些机构？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_1,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司设立审批由哪级部门负责？,地方金融组织_新疆维吾尔自治区地方金融管理局,第三条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_2,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司变更名称要不要省级核准？,地方金融组织_新疆维吾尔自治区地方金融管理局,第四条_1,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_3,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司终止经营需要履行什么程序？,地方金融组织_新疆维吾尔自治区地方金融管理局,第五条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_4,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司业务范围包括哪些具体项目？,地方金融组织_新疆维吾尔自治区地方金融管理局,第六条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_5,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司能不能跨省放贷？有什么限制？,地方金融组织_新疆维吾尔自治区地方金融管理局,第七条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_6,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司单户贷款余额上限怎么规定？,地方金融组织_新疆维吾尔自治区地方金融管理局,第八条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_7,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司关联交易要怎么管理和披露？,地方金融组织_新疆维吾尔自治区地方金融管理局,第九条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_8,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司融资杠杆比例最高是多少？,地方金融组织_新疆维吾尔自治区地方金融管理局,第十条,,,(请以此件为准) 新疆维吾尔自治区地方金融管理局 新疆生产建设兵团地方金融管理局 文件 新金规[2025]2号 关于印发《新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则》的通知 各地、州、市地方金融管理机构，兵团各师市地方金融管理机构： 为贯彻落实国家金融监督管理总局《小额贷款公司监督管理 暂行办法》（金规[2024]26号）要求，加强对小额贷款公司的 监督管理，防范化解风险，促进行业稳健经营、规范发展，结合 -1-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_1_9,policy,2025-12-31T15:17:02.642772,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆和兵团小贷公司监管细则是哪个部门联合发布的？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条,2025-07-28,,实际，自治区地方金融管理局和兵团地方金融管理局联合制定了 《新疆维吾尔自治区新疆生产建设兵团小额贷款公司监督管理 实施细则》，现印发给你们，请认真遵照执行。 新疆生 新疆维吾尔自治区 新疆生产建设兵团 地方金融管理局 地方金融管理局 2025年7月28日 2025年7月28日 抄报：国家金融监督管理总局 抄送：自治区市场监督管理局、自治区公安厅，兵团市场监督管 理局、兵团公安局，人民银行新疆分行、国家金融监督管理总局 新疆监管局，自治区小额贷款公司及融资担保公司行业协会、兵 团地方金融组织协会 -2-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_2_0,policy,2025-12-31T15:17:12.200288,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆和兵团小贷公司监管新规从什么时候开始执行？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,2025-07-28,,实际，自治区地方金融管理局和兵团地方金融管理局联合制定了 《新疆维吾尔自治区新疆生产建设兵团小额贷款公司监督管理 实施细则》，现印发给你们，请认真遵照执行。 新疆生 新疆维吾尔自治区 新疆生产建设兵团 地方金融管理局 地方金融管理局 2025年7月28日 2025年7月28日 抄报：国家金融监督管理总局 抄送：自治区市场监督管理局、自治区公安厅，兵团市场监督管 理局、兵团公安局，人民银行新疆分行、国家金融监督管理总局 新疆监管局，自治区小额贷款公司及融资担保公司行业协会、兵 团地方金融组织协会 -2-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_2_1,policy,2025-12-31T15:17:12.200288,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆这边的小贷公司现在归谁监管？,地方金融组织_新疆维吾尔自治区地方金融管理局,第三条,2025-07-28,,实际，自治区地方金融管理局和兵团地方金融管理局联合制定了 《新疆维吾尔自治区新疆生产建设兵团小额贷款公司监督管理 实施细则》，现印发给你们，请认真遵照执行。 新疆生 新疆维吾尔自治区 新疆生产建设兵团 地方金融管理局 地方金融管理局 2025年7月28日 2025年7月28日 抄报：国家金融监督管理总局 抄送：自治区市场监督管理局、自治区公安厅，兵团市场监督管 理局、兵团公安局，人民银行新疆分行、国家金融监督管理总局 新疆监管局，自治区小额贷款公司及融资担保公司行业协会、兵 团地方金融组织协会 -2-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_2_2,policy,2025-12-31T15:17:12.200288,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
兵团辖区的小贷公司监管是否适用新疆新出的监管细则？,地方金融组织_新疆维吾尔自治区地方金融管理局,第四条,2025-07-28,,实际，自治区地方金融管理局和兵团地方金融管理局联合制定了 《新疆维吾尔自治区新疆生产建设兵团小额贷款公司监督管理 实施细则》，现印发给你们，请认真遵照执行。 新疆生 新疆维吾尔自治区 新疆生产建设兵团 地方金融管理局 地方金融管理局 2025年7月28日 2025年7月28日 抄报：国家金融监督管理总局 抄送：自治区市场监督管理局、自治区公安厅，兵团市场监督管 理局、兵团公安局，人民银行新疆分行、国家金融监督管理总局 新疆监管局，自治区小额贷款公司及融资担保公司行业协会、兵 团地方金融组织协会 -2-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_2_3,policy,2025-12-31T15:17:12.200288,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司监管细则抄报给了哪些国家监管部门？,地方金融组织_新疆维吾尔自治区地方金融管理局,第五条,2025-07-28,,实际，自治区地方金融管理局和兵团地方金融管理局联合制定了 《新疆维吾尔自治区新疆生产建设兵团小额贷款公司监督管理 实施细则》，现印发给你们，请认真遵照执行。 新疆生 新疆维吾尔自治区 新疆生产建设兵团 地方金融管理局 地方金融管理局 2025年7月28日 2025年7月28日 抄报：国家金融监督管理总局 抄送：自治区市场监督管理局、自治区公安厅，兵团市场监督管 理局、兵团公安局，人民银行新疆分行、国家金融监督管理总局 新疆监管局，自治区小额贷款公司及融资担保公司行业协会、兵 团地方金融组织协会 -2-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_2_4,policy,2025-12-31T15:17:12.200288,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小贷公司监管文件抄送了哪些地方单位？,地方金融组织_新疆维吾尔自治区地方金融管理局,第六条,2025-07-28,,实际，自治区地方金融管理局和兵团地方金融管理局联合制定了 《新疆维吾尔自治区新疆生产建设兵团小额贷款公司监督管理 实施细则》，现印发给你们，请认真遵照执行。 新疆生 新疆维吾尔自治区 新疆生产建设兵团 地方金融管理局 地方金融管理局 2025年7月28日 2025年7月28日 抄报：国家金融监督管理总局 抄送：自治区市场监督管理局、自治区公安厅，兵团市场监督管 理局、兵团公安局，人民银行新疆分行、国家金融监督管理总局 新疆监管局，自治区小额贷款公司及融资担保公司行业协会、兵 团地方金融组织协会 -2-,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_2_5,policy,2025-12-31T15:17:12.200288,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小额贷款公司监管依据哪些法规？,地方金融组织_新疆维吾尔自治区地方金融管理局,第一条,,,新疆维吾尔自治区新疆生产建设兵团 小额贷款公司监督管理实施细则 第一章总则 第一条为加强对小额贷款公司的监督管理，规范小额贷款 公司经营行为，防范化解小额贷款公司风险，促进小额贷款公司 稳健经营、健康发展，根据国家金融监督管理总局《小额贷款公 司监督管理暂行办法》（金规〔2024]26号）和相关行政法规和 文件精神，结合实际，制定本实施细则。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_3_0,policy,2025-12-31T15:17:14.319824,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆这边的小额贷款公司是哪些部门批的？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,,,第二条本实施细则所称小额贷款公司，是指经新疆维吾尔 自治区地方金融管理局或新疆生产建设兵团地方金融管理局依 据管理权限依法批准设立的，不吸收公众存款，主要经营小额贷 款业务的地方金融组织。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_4_0,policy,2025-12-31T15:17:21.021375,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆小额贷款公司能不能吸收公众存款？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,,,第二条本实施细则所称小额贷款公司，是指经新疆维吾尔 自治区地方金融管理局或新疆生产建设兵团地方金融管理局依 据管理权限依法批准设立的，不吸收公众存款，主要经营小额贷 款业务的地方金融组织。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_4_1,policy,2025-12-31T15:17:21.021375,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆的小贷公司主要能做哪些业务？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,,,第二条本实施细则所称小额贷款公司，是指经新疆维吾尔 自治区地方金融管理局或新疆生产建设兵团地方金融管理局依 据管理权限依法批准设立的，不吸收公众存款，主要经营小额贷 款业务的地方金融组织。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_4_2,policy,2025-12-31T15:17:21.021375,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
兵团的小额贷款公司归哪个部门管？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,,,第二条本实施细则所称小额贷款公司，是指经新疆维吾尔 自治区地方金融管理局或新疆生产建设兵团地方金融管理局依 据管理权限依法批准设立的，不吸收公众存款，主要经营小额贷 款业务的地方金融组织。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_4_3,policy,2025-12-31T15:17:21.021375,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
新疆设立小贷公司需要哪个机构批准？,地方金融组织_新疆维吾尔自治区地方金融管理局,第二条,,,第二条本实施细则所称小额贷款公司，是指经新疆维吾尔 自治区地方金融管理局或新疆生产建设兵团地方金融管理局依 据管理权限依法批准设立的，不吸收公众存款，主要经营小额贷 款业务的地方金融组织。,policy_地方金融组织_新疆维吾尔自治区地方金融管理局_4_4,policy,2025-12-31T15:17:21.021375,监管政策,地方金融组织_新疆维吾尔自治区地方金融管理局.md,全国,客户经理,生效
